year,month,n
1770,1,22
1770,5,36
1800,1,1
1817,5,1
1817,6,1
1817,7,1
1820,10,1
1822,10,1
1824,12,1
1825,9,1
1829,1,1
1830,1,4
1832,10,1
1835,5,1
1839,2,1
1839,3,1
1839,12,2
1841,12,1
1845,1,1
1846,1,1
1850,1,1
1860,10,1
1865,1,1
1866,2,1
1866,3,1
1866,5,1
1879,4,1
1880,1,2
1881,10,1
1884,1,1
1884,10,1
1885,1,1
1887,1,3
1887,10,1
1888,8,1
1890,1,2
1890,7,1
1891,11,1
1892,4,1
1892,9,1
1892,10,1
1893,3,3
1893,10,1
1894,4,1
1894,5,1
1894,9,1
1895,7,1
1896,6,1
1896,8,1
1896,9,1
1896,10,1
1896,11,1
1897,9,1
1898,2,1
1898,10,1
1898,11,1
1899,9,1
1900,1,2
1900,8,1
1900,9,2
1900,10,1
1900,11,1
1901,1,2
1901,8,1
1901,9,1
1901,10,2
1902,2,1
1902,3,1
1902,6,1
1902,9,1
1902,11,1
1904,9,3
1904,10,1
1905,6,2
1905,10,1
1907,1,2
1907,2,1
1907,9,1
1908,8,3
1909,1,1
1909,2,1
1909,4,1
1909,9,1
1910,3,1
1910,5,1
1910,6,1
1910,9,1
1911,1,3
1911,9,5
1911,10,1
1911,11,1
1912,1,2
1912,2,1
1912,8,2
1912,9,2
1912,10,1
1912,11,2
1912,12,1
1913,1,2
1913,2,1
1913,3,2
1913,5,2
1913,10,2
1914,1,1
1914,4,1
1914,9,1
1915,4,1
1915,11,1
1916,6,2
1916,8,1
1916,9,1
1916,12,1
1917,6,1
1917,11,1
1918,4,1
1918,6,1
1918,7,1
1918,8,3
1918,9,1
1918,12,1
1919,9,3
1919,10,3
1919,12,1
1920,1,2
1920,10,2
1921,1,5
1921,4,2
1921,8,1
1921,9,2
1922,10,1
1923,5,1
1923,9,1
1924,7,1
1924,10,1
1925,2,1
1925,3,1
1925,7,2
1925,8,4
1926,8,1
1926,9,2
1926,11,1
1927,8,1
1927,12,1
1928,1,2
1928,7,6
1929,2,1
1929,3,1
1930,1,3
1930,10,2
1931,4,1
1931,7,1
1931,8,1
1931,9,1
1932,1,1
1932,2,1
1932,5,1
1932,11,2
1933,9,1
1933,10,4
1933,11,3
1933,12,2
1935,1,1
1935,4,1
1935,8,2
1935,9,1
1936,12,1
1937,8,1
1937,10,2
1938,8,2
1938,9,1
1938,11,2
1939,8,2
1940,1,1
1942,1,3
1942,7,1
1942,9,2
1943,1,1
1946,1,2
1947,8,2
1947,11,1
1948,1,1
1948,9,2
1948,10,3
1949,8,2
1949,9,1
1950,12,1
1951,1,7
1951,8,2
1951,10,1
1952,1,2
1952,8,4
1953,1,1
1953,2,2
1953,3,3
1953,8,13
1953,10,1
1954,1,9
1954,2,3
1954,8,10
1954,9,3
1955,1,1
1955,2,1
1955,3,2
1955,4,1
1955,8,8
1955,9,3
1955,10,2
1956,2,1
1956,3,2
1956,5,1
1956,8,11
1956,9,3
1956,12,1
1957,1,1
1957,5,5
1957,6,3
1957,7,2
1957,8,13
1957,9,6
1957,10,2
1958,1,2
1958,2,9
1958,6,1
1958,8,6
1958,9,7
1958,10,5
1958,11,1
1958,12,2
1959,2,4
1959,3,2
1959,8,8
1959,10,1
1960,1,1
1960,2,4
1960,4,1
1960,8,7
1960,9,3
1960,11,1
1960,12,1
1961,1,10
1961,2,7
1961,3,2
