state_territory,age_group,n_studying,population,prop_studying
ACT,15_19,22.9,25.8,0.8875968992248061
ACT,20_24,17.1,35.2,0.4857954545454546
ACT,25_29,7.5,40.1,0.18703241895261843
ACT,30_34,3.6,40,0.09
ACT,35_39,3.5,36.8,0.09510869565217392
ACT,40_44,3.6,34,0.10588235294117648
ACT,45_49,1.2,28.8,0.04166666666666666
ACT,50_54,0.9,27.1,0.03321033210332103
ACT,55_74,1.5,79.1,0.01896333754740834
NSW,15_19,399.8,487.4,0.8202708247845713
NSW,20_24,249,547.1,0.4551270334490952
NSW,25_29,104.8,586.2,0.17877857386557486
NSW,30_34,60.6,606,0.1
NSW,35_39,60.9,591.5,0.1029585798816568
NSW,40_44,43.3,545.7,0.07934762690122776
NSW,45_49,27.8,498.4,0.0557784911717496
NSW,50_54,32.1,514.4,0.06240279937791603
NSW,55_74,24.2,1725.5,0.01402492031295276
NT,15_19,10.4,14,0.7428571428571429
NT,20_24,5,11,0.4545454545454546
NT,25_29,4.2,17.8,0.23595505617977527
NT,30_34,3.2,21.4,0.14953271028037385
NT,35_39,1.8,18.3,0.09836065573770492
NT,40_44,1.9,15.9,0.11949685534591194
NT,45_49,0.9,13.7,0.06569343065693431
NT,50_54,0.6,14.3,0.04195804195804195
NT,55_74,1.1,37.9,0.02902374670184697
Qld,15_19,243.2,312.1,0.7792374239025952
Qld,20_24,132.4,342.1,0.38702133878982753
Qld,25_29,67.7,371.3,0.18233234581201185
Qld,30_34,39.3,383,0.10261096605744124
Qld,35_39,32.8,376.9,0.08702573626956753
Qld,40_44,30.9,358.2,0.08626465661641541
Qld,45_49,17.1,333.8,0.0512282804074296
Qld,50_54,16.2,353.1,0.04587935429056924
Qld,55_74,16.5,1143.4,0.01443064544341437
SA,15_19,86.2,108.9,0.7915518824609733
SA,20_24,40.8,114,0.35789473684210527
SA,25_29,25.3,124.9,0.20256204963971175
SA,30_34,14.5,126.1,0.11498810467882634
SA,35_39,11.2,124.3,0.09010458567980692
SA,40_44,8.8,115.3,0.07632263660017347
SA,45_49,6.5,107.1,0.06069094304388423
SA,50_54,5,117.7,0.04248088360237893
SA,55_74,5.8,424.5,0.01366313309776207
Tas.,15_19,24.8,31.3,0.792332268370607
Tas.,20_24,9.8,30.4,0.32236842105263164
Tas.,25_29,9,38.6,0.23316062176165803
Tas.,30_34,4.2,41.1,0.1021897810218978
Tas.,35_39,2,37.1,0.05390835579514824
Tas.,40_44,3.5,34.2,0.1023391812865497
Tas.,45_49,2,32,0.0625
Tas.,50_54,1.6,36.7,0.0435967302452316
Tas.,55_74,1.3,143.4,0.00906555090655509
Vic.,15_19,337.7,394.1,0.8568891144379598
Vic.,20_24,214.6,455.1,0.47154471544715437
Vic.,25_29,92.8,508.8,0.18238993710691823
Vic.,30_34,62.4,527.8,0.11822660098522168
Vic.,35_39,40.9,514.7,0.07946376530017485
Vic.,40_44,29.1,458.2,0.06350938454823221
Vic.,45_49,20.4,410.3,0.04971971728003899
Vic.,50_54,14.7,421,0.034916864608076
Vic.,55_74,15.5,1355.2,0.01143742621015348
WA,15_19,126.5,168.1,0.752528256989887
WA,20_24,63.7,169.6,0.3755896226415094
WA,25_29,28.2,192.4,0.14656964656964655
WA,30_34,17.4,209,0.0832535885167464
WA,35_39,26.8,218.5,0.12265446224256292
WA,40_44,13.4,199.7,0.0671006509764647
WA,45_49,9,177.5,0.05070422535211268
WA,50_54,8.6,185.4,0.04638619201725998
WA,55_74,7.1,586.5,0.01210571184995737
